smile,value_min,value_max,value_mean,labled,Temperature,Frequency,VR3_A,AATS7v,AATS2p,AATS6p,ATSC6m,ATSC1are,MATS3dv,MATS3m,MATS8m,MATS1se,MATS3are,MATS1p,GATS4d,GATS7d,GATS7m,GATS5are,GATS6are,GATS2p,GATS4p,GATS8p,GATS6i,BCUTm-1l,BCUTi-1l,SddssS,ETA_shape_p,AETA_beta_ns_d,ETA_dBeta,IC1,BIC2,PEOE_VSA7,PEOE_VSA9,SMR_VSA3,SlogP_VSA2,EState_VSA3,EState_VSA4,EState_VSA7,EState_VSA10,MDEO-11,AMID_N,n6HRing,n10FRing,nFAHRing,TopoPSA,JGI3,JGI8
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.47,3.47,3.47,0,0.382222222,0.25516955,0.055072646,0.77011659,0.57864696,0.737022704,0.707196895,0.767670644,0.246763046,0.349797355,0.474011365,0.270853135,0.157771862,0.337193868,0.465695169,0.57880005,0.442897829,0.467869402,0.303104623,0.714029897,0.47756665,0.509678807,0.349652595,0.912979993,0.999338551,1,0.203689274,0.181034483,0.4,0.341465679,0.530437784,0.165930537,0.283592403,0.178801327,0.192794907,0.198327144,0.050482332,0,0,0.138479528,0.401161436,0,0,0.5,0.076946069,0.479055437,0.34623944
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.42,3.42,3.42,0,0.382222222,0.446546712,0.055072646,0.77011659,0.57864696,0.737022704,0.707196895,0.767670644,0.246763046,0.349797355,0.474011365,0.270853135,0.157771862,0.337193868,0.465695169,0.57880005,0.442897829,0.467869402,0.303104623,0.714029897,0.47756665,0.509678807,0.349652595,0.912979993,0.999338551,1,0.203689274,0.181034483,0.4,0.341465679,0.530437784,0.165930537,0.283592403,0.178801327,0.192794907,0.198327144,0.050482332,0,0,0.138479528,0.401161436,0,0,0.5,0.076946069,0.479055437,0.34623944
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,2.68,3.169,2.9245,0,0.384444444,0.25516955,0.055072646,0.77011659,0.57864696,0.737022704,0.707196895,0.767670644,0.246763046,0.349797355,0.474011365,0.270853135,0.157771862,0.337193868,0.465695169,0.57880005,0.442897829,0.467869402,0.303104623,0.714029897,0.47756665,0.509678807,0.349652595,0.912979993,0.999338551,1,0.203689274,0.181034483,0.4,0.341465679,0.530437784,0.165930537,0.283592403,0.178801327,0.192794907,0.198327144,0.050482332,0,0,0.138479528,0.401161436,0,0,0.5,0.076946069,0.479055437,0.34623944
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(P(=O)(c5ccccc5)c5ccccc5)c3)C4=O)ccc21,3.2,3.2,3.2,0,0.388888889,0.446546712,0.103220891,0.616725925,0.947740148,0.811184425,0.769256198,0.672543836,0.447036792,0.213656435,0.616025502,0.262995898,0.46690822,0.631150145,0.656790924,0.403885981,0.274122736,0.357330051,0.198737148,0.848375935,1,0.407229606,0.50840501,0.912979975,0.204053774,1,0.111683391,0.122093023,0.54,0.299996859,0.29351152,0.165930537,0.283592403,0.178801327,0.192794907,0.238434423,0.050482332,0.319665875,0.079420435,0.304713601,0.186137412,0,0,0.5,0.191724668,0.415863284,0.479222866
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(P(=O)(c5ccccc5)c5ccc(Oc6ccc(C78CC9CC(CC(C9)C7)C8)cc6)cc5)c3)C4=O)ccc21,2.98,2.98,2.98,0,0.384444444,0.446546712,0.201501098,0.470105276,0.655162109,0.559937963,0.944862936,0.725815815,0.467819468,0.235466323,0.623944264,0.419946124,0.481258459,0.709114074,0.494984762,0.353912808,0.323104905,0.211015437,0.152825823,0.812510526,0.527190329,0.563196162,0.499098705,0.912979949,0.204044644,1,0,0.175,0.42,0.742162358,0.552553499,0.574373459,0.283592403,0.178801327,0.192794907,0.23605975,0.292629215,0.287699288,0,0.304713601,0.058955709,0,0.5,0.5,0.231137111,0.26437425,0.424260397
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(Oc5ccccc5)c3)C4=O)ccc21,3.51,3.51,3.51,0,0.382222222,0.25516955,0.102034403,0.755931323,0.53282401,0.750870802,0.756653072,0.76960553,0.205813992,0.28631462,0.523348348,0.303372716,0.080100301,0.248944035,0.463551259,0.634814872,0.390343109,0.436037682,0.130542229,0.848189352,0.369793347,0.442556315,0.447730576,0.912979984,0.999338549,1,0.107964866,0.291666667,0.453333333,0.278249497,0.363603311,0.213738317,0.283592403,0.178801327,0.192794907,0.250071858,0.050482332,0.159832938,0,0.138479528,0.27331857,0,0,0.5,0.116358512,0.35803743,0.445001108
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(Oc5ccccc5)c3)C4=O)ccc21,3.44,3.44,3.44,0,0.382222222,0.446546712,0.102034403,0.755931323,0.53282401,0.750870802,0.756653072,0.76960553,0.205813992,0.28631462,0.523348348,0.303372716,0.080100301,0.248944035,0.463551259,0.634814872,0.390343109,0.436037682,0.130542229,0.848189352,0.369793347,0.442556315,0.447730576,0.912979984,0.999338549,1,0.107964866,0.291666667,0.453333333,0.278249497,0.363603311,0.213738317,0.283592403,0.178801327,0.192794907,0.250071858,0.050482332,0.159832938,0,0.138479528,0.27331857,0,0,0.5,0.116358512,0.35803743,0.445001108
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccccc5)cc3)C4=O)ccc21,3.58,3.58,3.58,0,0.382222222,0.25516955,0.107633328,0.669018772,0.53282401,0.697835678,0.712448555,0.76960553,0.174130279,0.28631462,0.638142624,0.303372716,0.080100301,0.248944035,0.474658291,0.417472513,0.306030467,0.331296499,0.219958012,0.848189352,0.375161914,0.382890138,0.449893628,0.912979984,0.999338549,1,0.107964866,0.291666667,0.453333333,0.278249497,0.363603311,0.261546097,0.283592403,0.178801327,0.192794907,0.250071858,0.050482332,0.159832938,0,0.138479528,0.273138651,0,0,0.5,0.116358512,0.3242187,0.407587569
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(S(=O)(=O)c6ccc(Oc7ccccc7)c(-c7ccc(C(F)(F)F)cc7)c6)cc5-c5ccc(C(F)(F)F)cc5)cc3)C4=O)ccc21,3,3,3,0,0.384444444,0.446546712,0.216587993,0.854997753,0.583775584,0.902845585,0.704698506,0.635340248,0.237285395,0.258635804,0.516778254,0.686120298,0.357030575,0.284316294,0.227066808,0.556450979,0.503569039,0.263192923,0,0.552301451,0.335833546,0.548688425,0.100809207,0.729274332,0.013761558,0.003084213,0.263969817,0.21875,0.586666667,0.529484771,0.416109705,0.544429402,0.550160244,0.178801327,0.304761942,0.05012269,0.425482332,0,0.604742152,0.420882062,0.005218473,0,0,0.5,0.337332935,0.170240995,0.446395526
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.73,3.73,3.73,0,0.382222222,0.25516955,0.039635516,0.709645265,0.706539162,0.759314144,0.709339758,0.805840276,0.31941703,0.424238806,0.554081537,0.404057909,0.408796032,0.574625409,0.295316627,0.479331185,0.745346615,0.532520562,0.44759199,0.496308797,0.53291533,0.426940229,0.523960223,0.6469186,0.972194035,1,0.215934224,0,0.413333333,0.141544187,0.386153984,0.161967164,0.283592403,0.178801327,0.192794907,0.340585096,0.050482332,0.031966588,0,0.16094129,0.425110662,0,0,0.5,0.037533627,0.396829503,0.484295237
