PI,Temperature,eps_inf,delta_eps,tau,alpha,beta
PI_24.csv,-50,3.3400000000000003,0.14030267150825804,0.009496292260341519,0.24125838122391152,0.9999999999999999
PI_24.csv,0,3.3300000000000005,0.18226023067278987,0.17303115275522907,0.9999999999999982,0.1534863039639931
PI_24.csv,50,3.3500000000000005,0.3422387145631674,0.11007315646195459,0.9999999999999999,0.21183976290238607
PI_24.csv,100,3.4100000000000006,0.7644796618004873,0.10812092196319935,0.9999999999999999,0.2142528572376756
PI_24.csv,150,3.4600000000000004,1.7265774141022001,0.016727576483538578,0.46801252051373954,0.543009651202544
PI_25.csv,-100,3.4400000000000004,0.09775421570045241,0.0004580046834582096,0.25560711558953986,0.9999999999999999
PI_25.csv,-50,3.4600000000000004,0.11842483417116985,0.0001016972381062762,0.31557254339190444,0.9999999999999877
PI_25.csv,0,3.4700000000000055,0.13484664105363037,3.7670124824046495e-05,0.3370606474321565,0.9999999999998044
PI_25.csv,25,3.4700000000000006,0.29700713827396136,0.0030120579367962134,0.2248518107993871,0.9999999999998573
PI_25.csv,50,3.4800000000000004,0.3285054496752003,0.14738819522084648,0.9999999999999997,0.1536420901631848
PI_25.csv,100,3.5000000000000004,0.7039078518640061,0.08571608127200307,0.9999999999999963,0.20332363521709265
PI_25.csv,150,3.5350000000000006,1.4725628731599423,0.026327735629257835,0.5556605633726782,0.43739031678240126
PI_25.csv,190,3.5400000000000005,2.315864011721633,0.0017095388812597393,0.33209909800506693,0.9999999999999448
PI_26.csv,-150,3.5500000002511847,0.054581517781093526,0.24426498151843612,0.9999999999996907,0.10968117176852271
PI_26.csv,-50,3.5801765216713295,0.09566612779238712,0.15569072582870916,0.9999999999970277,0.15772625039428814
PI_26.csv,100,3.6300000000000003,0.4748828491500568,0.0984926983896914,0.9999999999999948,0.20120865307256253
PI_26.csv,150,3.6500000000000004,1.1537659871441706,0.013134682597951195,0.38583919414885876,0.7337975343994723
PI_27.csv,-150,3.3900000000000006,0.05707426104573794,0.0921306695278953,0.9999999999999999,0.16589225491875
PI_27.csv,-50,3.4100000000000006,0.1221206588121019,0.16225366294819651,0.9999999999942047,0.17194141702375149
PI_27.csv,0,3.4400000000528075,0.22037941906524014,0.14468461513687755,0.9999999994880712,0.1937609949671407
PI_27.csv,50,3.4700000000000006,0.46644258845955383,0.11030211783006985,0.9999999999999999,0.21164865259033008
PI_27.csv,100,3.4900000000000007,1.016921243426147,0.08483737143228688,0.9999999999999999,0.2094075766174179
PI_27.csv,150,3.5200000000000005,2.37521808886525,0.003494385199169969,0.3263637341153179,0.9648872366079955
PI_29.csv,25,3.0700000000000003,0.09962410451369845,0.10827575939406649,0.9999999999999999,0.1856918153172941
PI_30.csv,25,3.2700000000000005,0.17092212006527452,0.036017149868403944,0.5469052500747166,0.41461158377482865
PI_46.csv,200,2.9300000000000006,0.10674328283994977,1.4294484176747932,0.99999993353738,0.18603537050525945
