smile,value_min,value_max,value_mean,labled,Temperature,Frequency,ATSC1d,AATSC8i,MATS3dv,MATS5d,MATS7d,MATS1s,MATS3s,MATS1v,MATS7are,MATS1i,GATS8d,GATS8m,GATS2v,GATS6v,GATS8v,GATS7p,GATS7i,AXp-2d,SdssC,SaaaC,MINdO,IC1,CIC5,PEOE_VSA8,SMR_VSA6,SlogP_VSA3,EState_VSA3,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA10,n6HRing,naRing,JGI8,JGI10
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.133812659,0.283899561,0.717935929,0.497053456,0.602560316,0.207891265,0.50821546,0.79330965,0.701011194,0.714337711,0.356643778,0.602386648,0.347906921,0.667157284,0.590456005,0.026762082,0.434384298,0.280056287,1,0.290557187,0.412133291,0.382952106,0.187970891,0,0,0.343989146,0,0.213629318,0,0.106360699,0.159776029,0,0.333333333,0.244711146,0.869886007
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.118624338,0.533748882,0.704580166,0.333817819,0.884451615,0.632769586,0.477508064,0.819432013,0.596929263,0.873272905,0.592986865,0.118804414,0.323778552,0.807701636,0.228924565,0.606746178,0.594962794,0.348322555,1,0.94883692,0.392155189,0.241486024,0.166994977,0.402852804,0,0,0.099998331,0.280485894,0.320395601,0.106360699,0,0,0.333333333,0.243694993,0.454920944
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.118624338,0.533748882,0.704580166,0.333817819,0.884451615,0.632769586,0.477508064,0.819432013,0.596929263,0.873272905,0.592986865,0.118804414,0.323778552,0.807701636,0.228924565,0.606746178,0.594962794,0.348322555,1,0.94883692,0.392155189,0.241486024,0.166994977,0.402852804,0,0,0.099998331,0.280485894,0.320395601,0.106360699,0,0,0.333333333,0.243694993,0.454920944
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.118624338,0.533748882,0.704580166,0.333817819,0.884451615,0.632769586,0.477508064,0.819432013,0.596929263,0.873272905,0.592986865,0.118804414,0.323778552,0.807701636,0.228924565,0.606746178,0.594962794,0.348322555,1,0.94883692,0.392155189,0.241486024,0.166994977,0.402852804,0,0,0.099998331,0.280485894,0.320395601,0.106360699,0,0,0.333333333,0.243694993,0.454920944
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccc(-n6c(=O)c7cc8c(=O)n(-c9ccc(Oc%10ccccc%10)cc9)c(=O)c8cc7c6=O)cc5)cc4)c(=O)c3cc12,0.000929,0.002682,0.0017592,0,0.384444444,0.310250922,0.399476299,0.485485188,0.51415385,0.398124804,0.852417738,0.625012592,0.378652666,0.52348543,0.692708773,0.516626809,0.679178044,0.209818679,0.308606517,0.948519382,0.226677568,0.8060841,0.664439523,0.039525947,1,0.606558905,0.522097458,0.323437681,0.315119283,0.402852804,0,0,0.502176299,0.996936815,0.1373124,0.106360699,0.364015485,0,0.888888889,0.298581646,0.336892891
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.133812659,0.538057561,0.689981724,0.585262178,0.701488941,0.207891265,0.512311724,0.79330965,0.540308786,0.714337711,0.503367795,0,0.347906921,0.875302057,0.134461308,0.663762221,0.656769984,0.269992464,1,0.423294353,0.39551328,0.382952106,0.187970891,0,0,0.343989146,0,0.213629318,0,0.106360699,0.159776029,0,0.333333333,0.627064644,0.765149511
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.133812659,0.538057561,0.689981724,0.585262178,0.701488941,0.207891265,0.512311724,0.79330965,0.540308786,0.714337711,0.503367795,0,0.347906921,0.875302057,0.134461308,0.663762221,0.656769984,0.269992464,1,0.423294353,0.39551328,0.382952106,0.187970891,0,0,0.343989146,0,0.213629318,0,0.106360699,0.159776029,0,0.333333333,0.627064644,0.765149511
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.133812659,0.538057561,0.689981724,0.585262178,0.701488941,0.207891265,0.512311724,0.79330965,0.540308786,0.714337711,0.503367795,0,0.347906921,0.875302057,0.134461308,0.663762221,0.656769984,0.269992464,1,0.423294353,0.39551328,0.382952106,0.187970891,0,0,0.343989146,0,0.213629318,0,0.106360699,0.159776029,0,0.333333333,0.627064644,0.765149511
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,0.0006,0.012,0.0060625,0,0.384444444,0.310250922,0.118624338,0.381774263,0.312090591,0.333817819,0.884451615,0.539541692,0.10460184,0.557928236,0.80236965,0.589094771,0.592986865,0.175261163,0.585805376,1,0.321984834,0.484740496,0.566877306,0.348322555,1,0.834526624,0.386049569,0.241486024,0.166994977,0,0,0,0.302179637,0.28483909,0.228854001,0.106360699,0,0,0.333333333,0.243694993,0.454920944
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.118624338,0.381774263,0.312090591,0.333817819,0.884451615,0.539541692,0.10460184,0.557928236,0.80236965,0.589094771,0.592986865,0.175261163,0.585805376,1,0.321984834,0.484740496,0.566877306,0.348322555,1,0.834526624,0.386049569,0.241486024,0.166994977,0,0,0,0.302179637,0.28483909,0.228854001,0.106360699,0,0,0.333333333,0.243694993,0.454920944
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.118624338,0.381774263,0.312090591,0.333817819,0.884451615,0.539541692,0.10460184,0.557928236,0.80236965,0.589094771,0.592986865,0.175261163,0.585805376,1,0.321984834,0.484740496,0.566877306,0.348322555,1,0.834526624,0.386049569,0.241486024,0.166994977,0,0,0,0.302179637,0.28483909,0.228854001,0.106360699,0,0,0.333333333,0.243694993,0.454920944
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Cc5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.154303601,0.499117783,0.565145846,0.558371481,0.652827672,0.642987764,0.391696919,0.74422766,0.586388197,0.784238459,0.646405514,0.532413022,0.548918208,0.633327529,0.378453065,0.592538752,0.64284746,0.348322555,1,0.971698979,0.393376313,0.382952106,0.187970891,0,0,0.224523341,0.099998331,0.142419545,0.320395601,0.106360699,0,0,0.333333333,0.243694993,0.454920944
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Cc5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.154303601,0.499117783,0.565145846,0.558371481,0.652827672,0.642987764,0.391696919,0.74422766,0.586388197,0.784238459,0.646405514,0.532413022,0.548918208,0.633327529,0.378453065,0.592538752,0.64284746,0.348322555,1,0.971698979,0.393376313,0.382952106,0.187970891,0,0,0.224523341,0.099998331,0.142419545,0.320395601,0.106360699,0,0,0.333333333,0.243694993,0.454920944
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Cc5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.154303601,0.499117783,0.565145846,0.558371481,0.652827672,0.642987764,0.391696919,0.74422766,0.586388197,0.784238459,0.646405514,0.532413022,0.548918208,0.633327529,0.378453065,0.592538752,0.64284746,0.348322555,1,0.971698979,0.393376313,0.382952106,0.187970891,0,0,0.224523341,0.099998331,0.142419545,0.320395601,0.106360699,0,0,0.333333333,0.243694993,0.454920944
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(-c5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.154756171,0.404974294,0.461612863,0.670823844,0.668852617,0.593221619,0.35280051,0.752697411,0.552328942,0.785110198,0.865319879,0.196366785,0.428265538,0.641208488,0.276434547,0.164323559,0.440874856,0.177555843,1,0.946892261,0.385306508,0,0.17166031,0,0,0,0.099998331,0.142419545,0.320395601,0.106360699,0,0,0.333333333,0.407532352,0.494549316
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(-c5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.154756171,0.404974294,0.461612863,0.670823844,0.668852617,0.593221619,0.35280051,0.752697411,0.552328942,0.785110198,0.865319879,0.196366785,0.428265538,0.641208488,0.276434547,0.164323559,0.440874856,0.177555843,1,0.946892261,0.385306508,0,0.17166031,0,0,0,0.099998331,0.142419545,0.320395601,0.106360699,0,0,0.333333333,0.407532352,0.494549316
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(-c5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.154756171,0.404974294,0.461612863,0.670823844,0.668852617,0.593221619,0.35280051,0.752697411,0.552328942,0.785110198,0.865319879,0.196366785,0.428265538,0.641208488,0.276434547,0.164323559,0.440874856,0.177555843,1,0.946892261,0.385306508,0,0.17166031,0,0,0,0.099998331,0.142419545,0.320395601,0.106360699,0,0,0.333333333,0.407532352,0.494549316
N#Cc1ccc(Oc2ccc(NC3CC(=O)N(c4ccc(N5C(=O)CC(Nc6ccc(Oc7ccc(C#N)c(C#N)c7)cc6)C5=O)cc4)C3=O)cc2)cc1C#N,0.07,0.07,0.07,0,0.388888889,0.465376384,0.253755901,0.700016421,0,0.509412145,0.635142444,1,0,0.390729393,0.344890318,0.469477306,0.391433956,0.665668256,1,0.735106043,0.412625457,0.218220059,0.528763844,0.68834853,0.875943424,0.297804484,0.999545064,0.898743382,0.540221575,0.468019047,0.77318608,0.670621657,0.604359273,0.712097725,0.183169342,0.226926079,0.199749207,0,0.333333333,0.029935907,0.467412879
N#Cc1ccc(Oc2ccc(NC3CC(=O)N(c4ccc(N5C(=O)CC(Nc6ccc(Oc7ccc(C#N)c(C#N)c7)cc6)C5=O)cc4)C3=O)cc2)cc1C#N,0.01,0.01,0.01,0,0.388888889,0.542939114,0.253755901,0.700016421,0,0.509412145,0.635142444,1,0,0.390729393,0.344890318,0.469477306,0.391433956,0.665668256,1,0.735106043,0.412625457,0.218220059,0.528763844,0.68834853,0.875943424,0.297804484,0.999545064,0.898743382,0.540221575,0.468019047,0.77318608,0.670621657,0.604359273,0.712097725,0.183169342,0.226926079,0.199749207,0,0.333333333,0.029935907,0.467412879
Cc1cc(Cc2cc(C)c(Oc3cccc4c3C(=O)N(c3ccc(Oc5ccc(-c6ccc(Oc7ccccc7)cc6)cc5)cc3)C4=O)c(C)c2)cc(C)c1Oc1cccc2c1C(=O)NC2=O,0.0483,0.0483,0.0483,0,0.111111111,0.310250922,0.863572864,0.740659457,0.287631807,0.361734006,0.289539863,0.463813556,0.374948557,0.560768347,0.382528573,0.741528191,0.527618585,0.799184311,0.332345269,0.173942292,0.409924966,0.961625054,1,0.568799823,0.874083326,0.297804484,0.574389479,0.505964913,0.430907492,0,0.185409311,0.224523341,0.917255438,0.712097725,0.803979067,0.631300778,0,0,0.666666667,0.305870882,0.290408461
CC(C)(c1ccccc1)c1ccc(-n2c(=O)c3cc4c(=O)[nH]c(=O)c4cc3c2=O)cc1,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.414537922,0.265478292,0.413697823,0.879253085,0.603079382,0.567426387,0.522080044,0.731801696,0.482429632,0.786456792,0.942866258,0.276566052,0.003710239,0.300024724,0.423083341,0.039586761,0.361216067,0.269992464,1,0.952069696,0.425506687,0.555518429,0.312318743,0.222801701,0,0.18935143,0.099998331,0.142419545,0.228854001,0.660791888,0,0,0.333333333,0.627064644,0.765149511
CC(C)(c1ccccc1)c1ccc(-n2c(=O)c3cc4c(=O)[nH]c(=O)c4cc3c2=O)cc1,0.001,0.001,0.001,0,0.666666667,0.310250922,0.414537922,0.265478292,0.413697823,0.879253085,0.603079382,0.567426387,0.522080044,0.731801696,0.482429632,0.786456792,0.942866258,0.276566052,0.003710239,0.300024724,0.423083341,0.039586761,0.361216067,0.269992464,1,0.952069696,0.425506687,0.555518429,0.312318743,0.222801701,0,0.18935143,0.099998331,0.142419545,0.228854001,0.660791888,0,0,0.333333333,0.627064644,0.765149511
CC(C)(c1ccccc1)c1ccc(-n2c(=O)c3cc4c(=O)[nH]c(=O)c4cc3c2=O)cc1,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.414537922,0.265478292,0.413697823,0.879253085,0.603079382,0.567426387,0.522080044,0.731801696,0.482429632,0.786456792,0.942866258,0.276566052,0.003710239,0.300024724,0.423083341,0.039586761,0.361216067,0.269992464,1,0.952069696,0.425506687,0.555518429,0.312318743,0.222801701,0,0.18935143,0.099998331,0.142419545,0.228854001,0.660791888,0,0,0.333333333,0.627064644,0.765149511
CC(C)(c1ccc(Oc2cccc3c2C(=O)NC3=O)cc1)c1ccc(Oc2cccc3c2C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccccc6)cc5)cc4)cc2)C3=O)cc1,0.0311,0.0446,0.03785,0,0.111111111,0.310250922,0.646854834,0.751736522,0.266932548,0.587627377,0.690462389,0.431569801,0.339123142,0.551854744,0.182204144,0.733635971,0.690417077,0.584658231,0.565594906,0.597504672,0.212060606,0.387601831,0.618630521,0.538293976,0.871873745,0.297804484,0.51625157,0.273484741,0.361142377,0.222801701,0.185409311,0.18935143,0.703270845,0.712097725,0.961186803,0.40897536,0,0,0.666666667,0.274644294,0.436712864
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)NC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccccc2)C3=O)cc1,0.0124,0.0124,0.0124,0,0.384444444,0.077562731,0.464916019,0.51756166,0.22346891,0.732395925,0.448607467,0.480457069,0.374213292,0.57925477,0.122076495,0.712373584,0.863881189,0.631289168,0.361419608,0.481575563,0.402614458,0.3673085,0.577345421,0.501898527,0.891661819,0.297804484,0.361595596,0.503259518,0.353148484,0.222801701,0.185409311,0.18935143,0.895637946,0.712097725,0.411937201,0.40897536,0,0,0.333333333,0.189837333,0.380874782
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)NC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccccc2)C3=O)cc1,0.01,0.012,0.011,0,0.555555556,0.155125461,0.464916019,0.51756166,0.22346891,0.732395925,0.448607467,0.480457069,0.374213292,0.57925477,0.122076495,0.712373584,0.863881189,0.631289168,0.361419608,0.481575563,0.402614458,0.3673085,0.577345421,0.501898527,0.891661819,0.297804484,0.361595596,0.503259518,0.353148484,0.222801701,0.185409311,0.18935143,0.895637946,0.712097725,0.411937201,0.40897536,0,0,0.333333333,0.189837333,0.380874782
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)NC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccccc6)cc5)cc4)cc2)C3=O)cc1,0.031,0.031,0.031,0,0.111111111,0.232688192,0.578711394,0.639089825,0.102709183,0.732835826,0.625883602,0.422226986,0.350213629,0.551854744,0.315696232,0.733635971,0.940046109,0.515479237,0.565594906,0.606572228,0.21310885,0.32041522,0.587102372,0.601353758,0.881902758,0.297804484,0.409740203,0.273484741,0.361142377,0.222801701,0.185409311,0.18935143,1,0.712097725,0.961186803,0.40897536,0,0,0.666666667,0.112009031,0.266962292
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)NC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccccc6)cc5)cc4)cc2)C3=O)cc1,0.014,0.0268,0.0204,0,0.111111111,0.310250922,0.578711394,0.639089825,0.102709183,0.732835826,0.625883602,0.422226986,0.350213629,0.551854744,0.315696232,0.733635971,0.940046109,0.515479237,0.565594906,0.606572228,0.21310885,0.32041522,0.587102372,0.601353758,0.881902758,0.297804484,0.409740203,0.273484741,0.361142377,0.222801701,0.185409311,0.18935143,1,0.712097725,0.961186803,0.40897536,0,0,0.666666667,0.112009031,0.266962292
CC(C)(C)c1cc(Oc2cccc3c2C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccccc6)cc5)cc4)cc2)C3=O)c(C(C)(C)C)cc1Oc1cccc2c1C(=O)NC2=O,0.0426,0.0426,0.0426,0,0.111111111,0.310250922,0.902615934,0.078493041,0.61637988,0.458385284,0,0.410517022,0.252088785,0.521981613,0.310172481,0.694415908,0.652497782,0.762341876,0.165231369,0.350554351,0.934809306,0.814314564,0.878166071,0.825674277,0.862937557,0.297804484,0.69491046,0.522442176,0.515066999,0.457820365,0.185409311,0.378702859,0.504360942,0.712097725,1,0.11346304,0,0,0.555555556,0.886437859,0.357117055
CC(C)(C)c1cc(Oc2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccccc6)cc5)cc4)cc2)C3=O)c(C(C)(C)C)cc1Oc1ccc2c(c1)C(=O)NC2=O,0.0311,0.0311,0.0311,0,0.111111111,0.310250922,0.834472495,0.232268582,0.464326652,0.349614307,0.265981785,0.401303724,0.264886555,0.521981613,0.366287698,0.694415908,0.079705938,0.696353773,0.165231369,0.4570878,0.819085819,0.919993948,0.907566451,0.888734058,0.875404901,0.297804484,0.548269084,0.522442176,0.503259676,0.457820365,0.185409311,0.378702859,0.804361498,0.712097725,0.686562002,1,0,0,0.555555556,0.705467363,0.438506735
C=Cc1c(F)c(F)c(Oc2ccc(C(c3ccc(Oc4c(F)c(F)c(C=C)c(F)c4F)c(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(c6ccc(Oc8ccc(Oc9ccc(N%10C(=O)c%11ccc(C(c%12ccc%13c(c%12)C(=O)NC%13=O)(C(F)(F)F)C(F)(F)F)cc%11C%10=O)cc9C(F)(F)F)cc8)c(C(F)(F)F)c6)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)cc2)c(F)c1F,0.013,0.024,0.017,0,0.384444444,0.542939114,0.662298593,0.216539645,0.624007177,0.841446648,0.533164521,0.522537955,0.435745227,0.435392314,0.449796043,0.875212274,0.2733494,0.379365337,0.240422344,0.762041721,0.21398557,0.357556006,0.564157828,0.540952557,0,0.297804484,0.546109069,1,0.690096992,0,0.556227933,1,0.639970512,0.06241088,0,0.280795832,0.947348818,0,1,0.712386706,0.780717272
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.01,0.01,0.01,0,0.388888889,0.465376384,0.185526759,0.426035604,0.747101586,0.50365129,0.585236931,0,0.721206944,0.840183784,0.702227962,0.758664081,0.347895354,0.661395454,0.340320884,0.490772717,0.46656808,0,0.587421363,0.348816784,0.79672042,0.297804484,0.365693395,0.341155982,0.048695476,0,0.185409311,0.687978291,0,0.213629318,0,0.11346304,0.319552058,0,0.222222222,0.399802249,0.777618831
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.0091,0.0091,0.0091,0,0.388888889,0.542939114,0.185526759,0.426035604,0.747101586,0.50365129,0.585236931,0,0.721206944,0.840183784,0.702227962,0.758664081,0.347895354,0.661395454,0.340320884,0.490772717,0.46656808,0,0.587421363,0.348816784,0.79672042,0.297804484,0.365693395,0.341155982,0.048695476,0,0.185409311,0.687978291,0,0.213629318,0,0.11346304,0.319552058,0,0.222222222,0.399802249,0.777618831
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.0058,0.0058,0.0058,0,0.388888889,0.155125461,0.185526759,0.426035604,0.747101586,0.50365129,0.585236931,0,0.721206944,0.840183784,0.702227962,0.758664081,0.347895354,0.661395454,0.340320884,0.490772717,0.46656808,0,0.587421363,0.348816784,0.79672042,0.297804484,0.365693395,0.341155982,0.048695476,0,0.185409311,0.687978291,0,0.213629318,0,0.11346304,0.319552058,0,0.222222222,0.399802249,0.777618831
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.0054,0.0054,0.0054,0,0.388888889,0.387813653,0.185526759,0.426035604,0.747101586,0.50365129,0.585236931,0,0.721206944,0.840183784,0.702227962,0.758664081,0.347895354,0.661395454,0.340320884,0.490772717,0.46656808,0,0.587421363,0.348816784,0.79672042,0.297804484,0.365693395,0.341155982,0.048695476,0,0.185409311,0.687978291,0,0.213629318,0,0.11346304,0.319552058,0,0.222222222,0.399802249,0.777618831
