smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,MATS3dv,MATS1s,MATS3m,MATS6v,MATS7are,MATS1i,GATS8m,GATS8v,GATS1i,GATS7i,SaaaC,AETA_beta_ns_d,IC2,MIC5,EState_VSA4,EState_VSA6,EState_VSA7,EState_VSA10,JGI10,CSC1=CC=CC=C1,COC1=CC=C2CNCC2=C1,CC(C)=O,CC1=CC=C2CN(C)CC2=C1,CC1=CC=CC(N)=C1,CCC1=CC=C(N)C=C1,CN1CC2=CC=C(O)C=C2C1,FCC1=CC=CC=C1,C1=CC=C(CC2=CC=CC=C2)C=C1,CC1=CC=C(O)C=C1
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Cc5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.565145846,0.642987764,0.397012949,0.355535692,0.586388197,0.784238459,0.532413022,0.378453065,0.317941796,0.64284746,0.971698979,0.75862069,0.363335766,0.236457695,0.252005392,0.142419545,0.320395601,0,0.454920944,0,0,0,0,0,1,0,0,1,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(-c5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.461612863,0.593221619,0.587828517,0.496127785,0.552328942,0.785110198,0.196366785,0.276434547,0.290675977,0.440874856,0.946892261,0.785714286,0.234939106,0.255048807,0.238951375,0.142419545,0.320395601,0,0.494549316,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(-c5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0,0.666666667,0.310250922,0.461612863,0.593221619,0.587828517,0.496127785,0.552328942,0.785110198,0.196366785,0.276434547,0.290675977,0.440874856,0.946892261,0.785714286,0.234939106,0.255048807,0.238951375,0.142419545,0.320395601,0,0.494549316,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(-c5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.461612863,0.593221619,0.587828517,0.496127785,0.552328942,0.785110198,0.196366785,0.276434547,0.290675977,0.440874856,0.946892261,0.785714286,0.234939106,0.255048807,0.238951375,0.142419545,0.320395601,0,0.494549316,0,0,0,0,0,0,0,0,0,0
N#Cc1ccc(Oc2ccc(NC3CC(=O)N(c4ccc(N5C(=O)CC(Nc6ccc(Oc7ccc(C#N)c(C#N)c7)cc6)C5=O)cc4)C3=O)cc2)cc1C#N,0.07,0.07,0.07,0,0.388888889,0.465376384,0,1,0.121693023,0.682816579,0.344890318,0.469477306,0.665668256,0.412625457,0.45308201,0.528763844,0.297804484,0.392857143,0.65542073,0.389776194,0.149208611,0.712097725,0.183169342,0.199749207,0.467412879,0,0,0,0,0,0,0,0,0,2
N#Cc1ccc(Oc2ccc(NC3CC(=O)N(c4ccc(N5C(=O)CC(Nc6ccc(Oc7ccc(C#N)c(C#N)c7)cc6)C5=O)cc4)C3=O)cc2)cc1C#N,0.01,0.01,0.01,0,0.388888889,0.542939114,0,1,0.121693023,0.682816579,0.344890318,0.469477306,0.665668256,0.412625457,0.45308201,0.528763844,0.297804484,0.392857143,0.65542073,0.389776194,0.149208611,0.712097725,0.183169342,0.199749207,0.467412879,0,0,0,0,0,0,0,0,0,2
Cc1cc(Cc2cc(C)c(Oc3cccc4c3C(=O)N(c3ccc(Oc5ccc(-c6ccc(Oc7ccccc7)cc6)cc5)cc3)C4=O)c(C)c2)cc(C)c1Oc1cccc2c1C(=O)NC2=O,0.0483,0.0483,0.0483,0,0.111111111,0.310250922,0.287631807,0.463813556,0.315110744,0.976272623,0.382528573,0.741528191,0.799184311,0.409924966,0.320878271,1,0.297804484,0.328358209,0.648245047,0.433843683,0.852737373,0.712097725,0.803979067,0,0.290408461,0,0,0,0,0,0,0,0,1,4
CC(C)(c1ccccc1)c1ccc(-n2c(=O)c3cc4c(=O)[nH]c(=O)c4cc3c2=O)cc1,0.00165,0.00165,0.00165,0,0.384444444,0.310250922,0.413697823,0.567426387,0.338778974,0.869342296,0.482429632,0.786456792,0.276566052,0.423083341,0.368334809,0.361216067,0.952069696,0.709677419,0.41331094,0.221202655,0.238951375,0.142419545,0.228854001,0,0.765149511,0,0,0,0,0,3,0,0,1,0
CC(C)(c1ccccc1)c1ccc(-n2c(=O)c3cc4c(=O)[nH]c(=O)c4cc3c2=O)cc1,0.001,0.001,0.001,0,0.666666667,0.310250922,0.413697823,0.567426387,0.338778974,0.869342296,0.482429632,0.786456792,0.276566052,0.423083341,0.368334809,0.361216067,0.952069696,0.709677419,0.41331094,0.221202655,0.238951375,0.142419545,0.228854001,0,0.765149511,0,0,0,0,0,3,0,0,1,0
CC(C)(c1ccccc1)c1ccc(-n2c(=O)c3cc4c(=O)[nH]c(=O)c4cc3c2=O)cc1,0.00075,0.00075,0.00075,0,0.777777778,0.310250922,0.413697823,0.567426387,0.338778974,0.869342296,0.482429632,0.786456792,0.276566052,0.423083341,0.368334809,0.361216067,0.952069696,0.709677419,0.41331094,0.221202655,0.238951375,0.142419545,0.228854001,0,0.765149511,0,0,0,0,0,3,0,0,1,0
CC(C)(c1ccc(Oc2cccc3c2C(=O)NC3=O)cc1)c1ccc(Oc2cccc3c2C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccccc6)cc5)cc4)cc2)C3=O)cc1,0.0311,0.0446,0.03785,0,0.111111111,0.310250922,0.266932548,0.431569801,0.325530342,0.660763746,0.182204144,0.733635971,0.584658231,0.212060606,0.298444283,0.618630521,0.297804484,0.338461538,0.455609728,0.460720803,0.588513041,0.712097725,0.961186803,0,0.436712864,0,0,0,0,0,0,0,0,1,4
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)NC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccccc2)C3=O)cc1,0.0124,0.0124,0.0124,0,0.384444444,0.077562731,0.22346891,0.480457069,0.225688607,0.802828898,0.122076495,0.712373584,0.631289168,0.402614458,0.348832163,0.577345421,0.297804484,0.244444444,0.487866192,0.33801733,0.169414319,0.712097725,0.411937201,0,0.380874782,0,2,0,0,0,0,1,0,1,4
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)NC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccccc2)C3=O)cc1,0.01,0.012,0.011,0,0.555555556,0.155125461,0.22346891,0.480457069,0.225688607,0.802828898,0.122076495,0.712373584,0.631289168,0.402614458,0.348832163,0.577345421,0.297804484,0.244444444,0.487866192,0.33801733,0.169414319,0.712097725,0.411937201,0,0.380874782,0,2,0,0,0,0,1,0,1,4
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)NC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccccc6)cc5)cc4)cc2)C3=O)cc1,0.031,0.031,0.031,0,0.111111111,0.232688192,0.102709183,0.422226986,0.178865241,0.701237153,0.315696232,0.733635971,0.515479237,0.21310885,0.298444283,0.587102372,0.297804484,0.338461538,0.415317567,0.451313464,0.588513041,0.712097725,0.961186803,0,0.266962292,0,2,0,0,0,0,1,0,1,6
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)NC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccccc6)cc5)cc4)cc2)C3=O)cc1,0.014,0.0268,0.0204,0,0.111111111,0.310250922,0.102709183,0.422226986,0.178865241,0.701237153,0.315696232,0.733635971,0.515479237,0.21310885,0.298444283,0.587102372,0.297804484,0.338461538,0.415317567,0.451313464,0.588513041,0.712097725,0.961186803,0,0.266962292,0,2,0,0,0,0,1,0,1,6
CC(C)(C)c1cc(Oc2cccc3c2C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccccc6)cc5)cc4)cc2)C3=O)c(C(C)(C)C)cc1Oc1cccc2c1C(=O)NC2=O,0.0426,0.0426,0.0426,0,0.111111111,0.310250922,0.61637988,0.410517022,0.156255287,0.656362625,0.310172481,0.694415908,0.762341876,0.934809306,0.395836219,0.878166071,0.297804484,0.34375,0.54422791,0.39420062,0.588513041,0.712097725,1,0,0.357117055,0,0,0,0,0,0,0,0,0,2
CC(C)(C)c1cc(Oc2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccccc6)cc5)cc4)cc2)C3=O)c(C(C)(C)C)cc1Oc1ccc2c(c1)C(=O)NC2=O,0.0311,0.0311,0.0311,0,0.111111111,0.310250922,0.464326652,0.401303724,0.022817624,0.609195405,0.366287698,0.694415908,0.696353773,0.819085819,0.395836219,0.907566451,0.297804484,0.34375,0.512486554,0.394803888,0.588513041,0.712097725,0.686562002,0,0.438506735,0,2,0,0,0,0,1,0,0,4
C=Cc1c(F)c(F)c(Oc2ccc(C(c3ccc(Oc4c(F)c(F)c(C=C)c(F)c4F)c(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(c6ccc(Oc8ccc(Oc9ccc(N%10C(=O)c%11ccc(C(c%12ccc%13c(c%12)C(=O)NC%13=O)(C(F)(F)F)C(F)(F)F)cc%11C%10=O)cc9C(F)(F)F)cc8)c(C(F)(F)F)c6)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)cc2)c(F)c1F,0.013,0.024,0.017,0,0.384444444,0.542939114,0.624007177,0.522537955,0.830561323,0.515721816,0.449796043,0.875212274,0.379365337,0.21398557,0.000776649,0.564157828,0.297804484,0.481751825,1,1,0.369457502,0.06241088,0,0.947348818,0.780717272,0,0,0,3,3,0,0,6,3,4
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.01,0.01,0.01,0,0.388888889,0.465376384,0.747101586,0,0,0.512948739,0.702227962,0.758664081,0.661395454,0.46656808,0.357178052,0.587421363,0.297804484,0,0.289021935,0.657194943,0.351697432,0.213629318,0,0.319552058,0.777618831,4,0,0,0,0,0,0,0,0,0
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.0091,0.0091,0.0091,0,0.388888889,0.542939114,0.747101586,0,0,0.512948739,0.702227962,0.758664081,0.661395454,0.46656808,0.357178052,0.587421363,0.297804484,0,0.289021935,0.657194943,0.351697432,0.213629318,0,0.319552058,0.777618831,4,0,0,0,0,0,0,0,0,0
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.0058,0.0058,0.0058,0,0.388888889,0.155125461,0.747101586,0,0,0.512948739,0.702227962,0.758664081,0.661395454,0.46656808,0.357178052,0.587421363,0.297804484,0,0.289021935,0.657194943,0.351697432,0.213629318,0,0.319552058,0.777618831,4,0,0,0,0,0,0,0,0,0
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.0054,0.0054,0.0054,0,0.388888889,0.387813653,0.747101586,0,0,0.512948739,0.702227962,0.758664081,0.661395454,0.46656808,0.357178052,0.587421363,0.297804484,0,0.289021935,0.657194943,0.351697432,0.213629318,0,0.319552058,0.777618831,4,0,0,0,0,0,0,0,0,0
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.0045,0.0045,0.0045,0,0.388888889,0.232688192,0.747101586,0,0,0.512948739,0.702227962,0.758664081,0.661395454,0.46656808,0.357178052,0.587421363,0.297804484,0,0.289021935,0.657194943,0.351697432,0.213629318,0,0.319552058,0.777618831,4,0,0,0,0,0,0,0,0,0
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.0036,0.0036,0.0036,0,0.388888889,0.310250922,0.747101586,0,0,0.512948739,0.702227962,0.758664081,0.661395454,0.46656808,0.357178052,0.587421363,0.297804484,0,0.289021935,0.657194943,0.351697432,0.213629318,0,0.319552058,0.777618831,4,0,0,0,0,0,0,0,0,0
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.0119,0.0119,0.0119,0,0.388888889,0.542939114,0.538547309,0.149644019,0.17513682,0.535676022,0.564481308,0.678616252,0.638179827,0.405028598,0.360788794,0.719421309,0.297804484,0.144736842,0.41179124,0.562479402,0.074604306,0.213629318,0,0.159776029,0.466011651,2,2,0,0,0,0,1,0,0,2
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.0108,0.0108,0.0108,0,0.388888889,0.465376384,0.538547309,0.149644019,0.17513682,0.535676022,0.564481308,0.678616252,0.638179827,0.405028598,0.360788794,0.719421309,0.297804484,0.144736842,0.41179124,0.562479402,0.074604306,0.213629318,0,0.159776029,0.466011651,2,2,0,0,0,0,1,0,0,2
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.0054,0.0054,0.0054,0,0.388888889,0.387813653,0.538547309,0.149644019,0.17513682,0.535676022,0.564481308,0.678616252,0.638179827,0.405028598,0.360788794,0.719421309,0.297804484,0.144736842,0.41179124,0.562479402,0.074604306,0.213629318,0,0.159776029,0.466011651,2,2,0,0,0,0,1,0,0,2
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.0054,0.0054,0.0054,0,0.388888889,0.155125461,0.538547309,0.149644019,0.17513682,0.535676022,0.564481308,0.678616252,0.638179827,0.405028598,0.360788794,0.719421309,0.297804484,0.144736842,0.41179124,0.562479402,0.074604306,0.213629318,0,0.159776029,0.466011651,2,2,0,0,0,0,1,0,0,2
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.0048,0.0048,0.0048,0,0.388888889,0.232688192,0.538547309,0.149644019,0.17513682,0.535676022,0.564481308,0.678616252,0.638179827,0.405028598,0.360788794,0.719421309,0.297804484,0.144736842,0.41179124,0.562479402,0.074604306,0.213629318,0,0.159776029,0.466011651,2,2,0,0,0,0,1,0,0,2
[H]c1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([H])C6=O)cc4C3=O)c2)c1,0.0034,0.0034,0.0034,0,0.388888889,0.310250922,0.538547309,0.149644019,0.17513682,0.535676022,0.564481308,0.678616252,0.638179827,0.405028598,0.360788794,0.719421309,0.297804484,0.144736842,0.41179124,0.562479402,0.074604306,0.213629318,0,0.159776029,0.466011651,2,2,0,0,0,0,1,0,0,2
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N([H])C9=O)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)c1,0.0475,0.0475,0.0475,0,0.666666667,0.077562731,0.40331225,0.743942664,0.554856965,0.37327946,0.148304199,0.595654511,0.646182448,0.345552331,0.277504629,0.941389786,0.297804484,0.436507937,0.422000325,0.62049986,0.074604306,0.925727043,0.0457708,0.299623811,0.201048478,0,2,0,0,0,0,1,0,0,2
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N([H])C9=O)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)c1,0.0447,0.0447,0.0447,0,0.666666667,0.155125461,0.40331225,0.743942664,0.554856965,0.37327946,0.148304199,0.595654511,0.646182448,0.345552331,0.277504629,0.941389786,0.297804484,0.436507937,0.422000325,0.62049986,0.074604306,0.925727043,0.0457708,0.299623811,0.201048478,0,2,0,0,0,0,1,0,0,2
