smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,VR3_A,AATS6p,AATS8i,ATSC6m,ATSC1are,ATSC3p,AATSC3s,AATSC8v,AATSC3se,MATS3dv,MATS1d,MATS7d,MATS6v,MATS1se,MATS3are,MATS7are,MATS1p,MATS6p,MATS5i,GATS3dv,GATS8dv,GATS2d,GATS5d,GATS4m,GATS7m,GATS8m,GATS2v,GATS4are,GATS5are,GATS6are,GATS2p,GATS4p,GATS5p,GATS8p,GATS4i,GATS6i,C1SP3,SsssN,ETA_shape_y,AETA_dBeta,PEOE_VSA7,SMR_VSA3,SlogP_VSA2,SlogP_VSA5,EState_VSA7,AMID_C,AMID_N,AMID_X,nFaRing,nFAHRing,TopoPSA,JGI3,mZagreb2
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.47,3.47,3.47,0,0.382222222,0.25516955,0.055072646,0.737022704,0.254795351,0.707196895,0.767670644,0.699796057,0.372192056,0.596084467,0.27238846,0.246763046,0.336167298,0.503601563,0.421844119,0.270853135,0.157771862,0.403188146,0.337193868,0.450147295,1,0.680876927,0.529336735,0.409832213,0.285751195,0.61385545,0.442897829,0.545971378,0.720986858,0.616060122,0.467869402,0.303104623,0.714029897,0.47756665,0.230681076,0.509678807,0.511239746,0.349652595,0,0.399432794,0.44098362,0.745589575,0.165930537,0.178801327,0.192794907,0.187784537,0,0.498273946,0.401161436,0,0,0.5,0.076946069,0.479055437,0.07441328
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.42,3.42,3.42,0,0.382222222,0.446546712,0.055072646,0.737022704,0.254795351,0.707196895,0.767670644,0.699796057,0.372192056,0.596084467,0.27238846,0.246763046,0.336167298,0.503601563,0.421844119,0.270853135,0.157771862,0.403188146,0.337193868,0.450147295,1,0.680876927,0.529336735,0.409832213,0.285751195,0.61385545,0.442897829,0.545971378,0.720986858,0.616060122,0.467869402,0.303104623,0.714029897,0.47756665,0.230681076,0.509678807,0.511239746,0.349652595,0,0.399432794,0.44098362,0.745589575,0.165930537,0.178801327,0.192794907,0.187784537,0,0.498273946,0.401161436,0,0,0.5,0.076946069,0.479055437,0.07441328
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,2.68,3.169,2.9245,0,0.384444444,0.25516955,0.055072646,0.737022704,0.254795351,0.707196895,0.767670644,0.699796057,0.372192056,0.596084467,0.27238846,0.246763046,0.336167298,0.503601563,0.421844119,0.270853135,0.157771862,0.403188146,0.337193868,0.450147295,1,0.680876927,0.529336735,0.409832213,0.285751195,0.61385545,0.442897829,0.545971378,0.720986858,0.616060122,0.467869402,0.303104623,0.714029897,0.47756665,0.230681076,0.509678807,0.511239746,0.349652595,0,0.399432794,0.44098362,0.745589575,0.165930537,0.178801327,0.192794907,0.187784537,0,0.498273946,0.401161436,0,0,0.5,0.076946069,0.479055437,0.07441328
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(P(=O)(c5ccccc5)c5ccccc5)c3)C4=O)ccc21,3.2,3.2,3.2,0,0.388888889,0.446546712,0.103220891,0.811184425,0.182613284,0.769256198,0.672543836,0.519124404,0.596713493,0.739217315,0.463541097,0.447036792,0.430538875,0.644699076,0.39787244,0.262995898,0.46690822,0.498535721,0.631150145,0.322330387,0.784984285,0.529931975,0.341780621,0.526138527,0.270723778,0.888487701,0.274122736,0.333090438,0.728580869,0.637628079,0.357330051,0.198737148,0.848375935,1,0.357417858,0.407229606,0.473131595,0.50840501,0,0.389651922,0.176928842,0.853184873,0.165930537,0.178801327,0.192794907,0.187784537,0.319665875,0.611785599,0.186137412,0,0,0.5,0.191724668,0.415863284,0.198053807
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(P(=O)(c5ccccc5)c5ccc(Oc6ccc(C78CC9CC(CC(C9)C7)C8)cc6)cc5)c3)C4=O)ccc21,2.98,2.98,2.98,0,0.384444444,0.446546712,0.201501098,0.559937963,0.155195734,0.944862936,0.725815815,0.309939675,0.709710255,0.812503662,0.512941772,0.467819468,0.352804027,0.727142644,0.539653643,0.419946124,0.481258459,0.464598578,0.709114074,0.394088018,0.70866837,0.485261903,0.446875205,0.745761431,0.14934796,0.573459501,0.323104905,0.428214815,0.826174119,0.407904233,0.211015437,0.152825823,0.812510526,0.527190329,0.338125996,0.563196162,0.306914905,0.499098705,0,0.39235672,0.180809278,0.607526021,0.574373459,0.178801327,0.192794907,0.387608956,0.287699288,0.831548858,0.058955709,0,0,0.5,0.231137111,0.26437425,0.33371494
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(Oc5ccccc5)c3)C4=O)ccc21,3.51,3.51,3.51,0,0.382222222,0.25516955,0.102034403,0.750870802,0.200503705,0.756653072,0.76960553,0.712975263,0.401967338,0.656184736,0.242079756,0.205813992,0.307179187,0.550370012,0.434312342,0.303372716,0.080100301,0.400471822,0.248944035,0.378628142,0.915178003,0.76733258,0.485421422,0.429990206,0.272732786,0.582006828,0.390343109,0.44324153,0.793431311,0.616924369,0.436037682,0.130542229,0.848189352,0.369793347,0.240141916,0.442556315,0.430477041,0.447730576,0,0.393781235,0.353110725,0.780268659,0.213738317,0.178801327,0.192794907,0.187784537,0.159832938,0.575584678,0.27331857,0,0,0.5,0.116358512,0.35803743,0.136233543
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(Oc5ccccc5)c3)C4=O)ccc21,3.44,3.44,3.44,0,0.382222222,0.446546712,0.102034403,0.750870802,0.200503705,0.756653072,0.76960553,0.712975263,0.401967338,0.656184736,0.242079756,0.205813992,0.307179187,0.550370012,0.434312342,0.303372716,0.080100301,0.400471822,0.248944035,0.378628142,0.915178003,0.76733258,0.485421422,0.429990206,0.272732786,0.582006828,0.390343109,0.44324153,0.793431311,0.616924369,0.436037682,0.130542229,0.848189352,0.369793347,0.240141916,0.442556315,0.430477041,0.447730576,0,0.393781235,0.353110725,0.780268659,0.213738317,0.178801327,0.192794907,0.187784537,0.159832938,0.575584678,0.27331857,0,0,0.5,0.116358512,0.35803743,0.136233543
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccccc5)cc3)C4=O)ccc21,3.58,3.58,3.58,0,0.382222222,0.25516955,0.107633328,0.697835678,0.260777003,0.712448555,0.76960553,0.712975263,0.412618157,0.776430329,0.242079756,0.174130279,0.307179187,0.704369741,0.393291185,0.303372716,0.080100301,0.608314083,0.248944035,0.349660532,0.928735189,0.793673794,0.427067282,0.45028849,0.25010736,0.66496557,0.306030467,0.361667069,0.793431311,0.680032297,0.331296499,0.219958012,0.848189352,0.375161914,0.269362474,0.382890138,0.430690784,0.449893628,0,0.395364186,0.353110725,0.780268659,0.261546097,0.178801327,0.192794907,0.187784537,0.159832938,0.575695749,0.273138651,0,0,0.5,0.116358512,0.3242187,0.136233543
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(S(=O)(=O)c6ccc(Oc7ccccc7)c(-c7ccc(C(F)(F)F)cc7)c6)cc5-c5ccc(C(F)(F)F)cc5)cc3)C4=O)ccc21,3,3,3,0,0.384444444,0.446546712,0.216587993,0.902845585,0.253296099,0.704698506,0.635340248,0.377731795,0.635445574,0.598627681,0.316503396,0.237285395,0.092192415,0.56737725,0.434867392,0.686120298,0.357030575,0.423686642,0.284316294,0.357300982,0.856370212,0.558122528,0.318246938,0.469518798,0.20889859,0.813311675,0.503569039,0.533639997,0.721123271,0.593109244,0.263192923,0,0.552301451,0.335833546,0.224617527,0.548688425,0.186907662,0.100809207,0.142857143,0.362759633,0.18038493,0.727026065,0.544429402,0.178801327,0.304761942,0.238215668,0,0.467493271,0.005218473,0.351679308,0,0.5,0.337332935,0.170240995,0.436176302
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.73,3.73,3.73,0,0.382222222,0.25516955,0.039635516,0.759314144,0.231233515,0.709339758,0.805840276,0.665858383,0.479857142,0.707384637,0.453843446,0.31941703,0.397622504,0.628687931,0.382180301,0.404057909,0.408796032,0.149340006,0.574625409,0.285581925,0.869037761,0.544225127,0.456894035,0.443721398,0.345684604,0.618979348,0.745346615,0.484116004,0.632649656,0.462761206,0.532520562,0.44759199,0.496308797,0.53291533,0.22951155,0.426940229,0.493017237,0.523960223,0,0.405331081,0.476639266,0.787029624,0.161967164,0.178801327,0.192794907,0.187784537,0.031966588,0.619725616,0.425110662,0,0,0.5,0.037533627,0.396829503,0.065254722
