smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,AATS6p,MATS8m,MATS8i,GATS4s,GATS8m,GATS5are,GATS7are,ETA_shape_y,IC2,EState_VSA3,EState_VSA8,c1ccc(-c2ccccn2)cc1,COc1ccccn1,C,CN1CCCC1=O,CNc1ccc(O)cc1,Nc1cccc(O)c1,Cc1cccc(N)c1,Cc1ccccc1,Cc1cccc(-c2ccccc2)n1,CC1CCc2ccccc21,Cc1cc(-c2ccccc2)ccn1,CPc1ccccc1,CNC,Nc1cccc2c1CCC2,CCC1CCCCC1,NCCN,S,FCF,CC(C)=O,CN1CC=CC1=O,COc1ccc(N)cn1,Cc1cc(N)ccc1N,O=C1NCc2ccccc21,O=[SH]c1ccccc1,CN,CNc1ccccc1,c1ccccc1,NC=O,CNC=O,COc1ccc(N)cc1,c1ccc(Oc2ccccc2)cc1,Cc1ccc(N)c(C)c1,COc1ccccc1C,CS,Cc1ccc(O)c(C)c1,c1ccc2c(c1)Cc1cc3c(cc1O2)CNC3,O=C1CCCN1,Fc1ccccc1,c1ccc(N2Cc3ccccc3C2)cc1,CSc1ccccc1,COc1ccc2c(c1)CNC2,CC(C)C,N,NCc1ccccc1,Sc1ccccc1,c1ccc(Oc2ccccn2)cc1,c1ccc2c(c1)CNC2,Cc1ccc2c(c1)CN(C)C2,CCCC,CCCN,COc1ccc(O)cc1,O=C1NC(=O)c2ccccc21,c1ccc(Cc2ccccc2)cc1,Cc1ccccc1O,CSc1ccc(O)cc1,CC1CCCC(C)C1,Cc1ccnc(C)c1,CNc1ccc(N)cc1,Oc1ccccc1,Cc1ccc(N)cc1,CN1Cc2ccc(O)cc2C1,O=Cc1ccc2c(c1)CNC2,O=C1NCc2cc(O)ccc21,Cc1ccc(O)cc1,CCc1ccc2c(c1)CNC2,CNc1ccc(C)cc1,CCc1cccc(C)c1,Nc1cccnc1,CCNC,COc1cccc(N)c1,Oc1ccccn1,O=C1NCc2ccc(O)cc21,CCc1ccc(O)cc1,CNCN,COc1ccc(C)cc1,Oc1ccccc1-c1ccccc1,CCC,Cc1ccccn1,NCC=O,C=O,Cc1cc(N)ccc1O,O=CNc1ccccc1,Oc1ccc(S)cc1,Nc1ccc(O)cc1,O=C1C=CCN1c1ccccc1,CNc1ccc(S)cc1,Cc1cnc2ccccc2n1,CC(F)F
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.47,3.47,3.47,0,0.382222222,0.25516955,0.737022704,0.474011365,0.490629198,0.57600905,0.545971378,0.467869402,0.309250436,0.44098362,0.219326864,0.198327144,0.049105641,0,0,22,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,2,3,4,6,0,1,0,0,0,0,0,0,0,1,0,2,0,2,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,2,2,0,0,0,0,6,0,0,2,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.42,3.42,3.42,0,0.382222222,0.446546712,0.737022704,0.474011365,0.490629198,0.57600905,0.545971378,0.467869402,0.309250436,0.44098362,0.219326864,0.198327144,0.049105641,0,0,22,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,2,3,4,6,0,1,0,0,0,0,0,0,0,1,0,2,0,2,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,2,2,0,0,0,0,6,0,0,2,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,2.68,3.169,2.9245,0,0.384444444,0.25516955,0.737022704,0.474011365,0.490629198,0.57600905,0.545971378,0.467869402,0.309250436,0.44098362,0.219326864,0.198327144,0.049105641,0,0,22,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,2,3,4,6,0,1,0,0,0,0,0,0,0,1,0,2,0,2,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,2,2,0,0,0,0,6,0,0,2,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(P(=O)(c5ccccc5)c5ccccc5)c3)C4=O)ccc21,3.2,3.2,3.2,0,0.388888889,0.446546712,0.811184425,0.616025502,0.600823146,0.770486101,0.333090438,0.357330051,0.277589758,0.176928842,0.288911992,0.238434423,0.049105641,0,0,34,0,0,0,0,4,0,0,0,6,4,0,0,0,0,0,0,0,0,0,4,0,5,2,5,4,6,0,1,0,0,0,0,0,0,0,1,0,2,0,2,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,2,2,0,0,0,0,6,0,0,2,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(P(=O)(c5ccccc5)c5ccc(Oc6ccc(C78CC9CC(CC(C9)C7)C8)cc6)cc5)c3)C4=O)ccc21,2.98,2.98,2.98,0,0.384444444,0.446546712,0.559937963,0.623944264,0.690603758,0.47309579,0.428214815,0.211015437,0.441102905,0.180809278,0.783062806,0.23605975,0.273220509,0,0,50,0,0,0,0,5,0,0,0,6,4,0,12,0,0,0,0,0,0,0,4,0,5,2,6,4,6,0,2,0,0,0,0,0,0,0,1,0,2,7,2,4,0,0,2,0,27,0,0,2,0,0,0,18,0,0,4,0,1,0,2,3,0,0,0,0,6,0,0,2,3,0,3,0,21,0,0,4,0,2,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(Oc5ccccc5)c3)C4=O)ccc21,3.51,3.51,3.51,0,0.382222222,0.25516955,0.750870802,0.523348348,0.570639314,0.577752369,0.44324153,0.436037682,0.318825991,0.353110725,0.223263737,0.250071858,0.049105641,0,0,28,0,0,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,2,4,4,6,0,2,0,0,0,0,0,0,0,1,0,2,0,2,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,2,2,0,0,0,0,6,1,0,2,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3cccc(Oc5ccccc5)c3)C4=O)ccc21,3.44,3.44,3.44,0,0.382222222,0.446546712,0.750870802,0.523348348,0.570639314,0.577752369,0.44324153,0.436037682,0.318825991,0.353110725,0.223263737,0.250071858,0.049105641,0,0,28,0,0,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,2,4,4,6,0,2,0,0,0,0,0,0,0,1,0,2,0,2,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,2,2,0,0,0,0,6,1,0,2,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccccc5)cc3)C4=O)ccc21,3.58,3.58,3.58,0,0.382222222,0.25516955,0.697835678,0.638142624,0.599742138,0.594108581,0.361667069,0.331296499,0.198195549,0.353110725,0.223263737,0.250071858,0.049105641,0,0,28,0,2,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,2,4,4,6,1,2,0,0,0,0,0,0,0,1,0,2,0,2,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,2,2,0,0,0,0,6,0,0,2,0,0,2,0,0,0,0,4,0,2,0,1,0,0,0,0
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(S(=O)(=O)c6ccc(Oc7ccccc7)c(-c7ccc(C(F)(F)F)cc7)c6)cc5-c5ccc(C(F)(F)F)cc5)cc3)C4=O)ccc21,3,3,3,0,0.384444444,0.446546712,0.902845585,0.516778254,0.545039247,0.655832731,0.533639997,0.263192923,0.246806364,0.18038493,0.687636997,0.05012269,0.049105641,0,0,54,0,2,0,0,10,0,0,0,0,4,0,0,0,1,6,0,0,0,0,4,4,5,2,8,4,6,1,3,0,2,2,0,0,0,0,1,2,2,0,2,4,2,0,2,0,0,0,0,2,0,2,2,0,0,0,6,0,1,0,2,2,0,0,0,0,6,0,0,2,0,0,2,2,0,0,0,4,0,2,2,1,0,0,0,6
O=C1NC(=O)c2cc(-c3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,3.73,3.73,3.73,0,0.382222222,0.25516955,0.759314144,0.554081537,0.52822163,0.47795213,0.484116004,0.532520562,0.67017609,0.476639266,0.087654457,0.340585096,0.049105641,0,0,22,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,2,3,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0
