smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3.35,3.35,3.35,0,23,6.699013432
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3.33,3.33,3.33,0,23,5
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3.08,3.08,3.08,0,21,5
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3.07,3.07,3.07,0,23,4.698974347
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3,3.13,3.063333333,0,-50,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3,3,3,0,-30,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3,3,3,0,150,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,3,3,3,0,200,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,1.84,4,2.982,0,23,6
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,2.2,2.9,2.575,0,20,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccc6ccc(Oc7ccccc7)cc6c5)cc4)c(=O)c3cc12,3.16,3.16,3.16,0,30,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Cc5ccccc5)cc4)c(=O)c3cc12,3.2,3.4,3.3,0,23,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Cc5ccccc5)cc4)c(=O)c3cc12,3,3,3,0,150,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Cc5ccccc5)cc4)c(=O)c3cc12,3,3,3,0,200,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(-c5ccccc5)cc4)c(=O)c3cc12,3.4,3.4,3.4,0,23,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(-c5ccccc5)cc4)c(=O)c3cc12,3,3,3,0,150,3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(-c5ccccc5)cc4)c(=O)c3cc12,3,3,3,0,200,3
O=c1[nH]c(=O)c2c3ccc(c12)c1c(=O)n(C2CCCCC2)c(=O)c31,2.62,2.64,2.63,0,23,6
O=c1[nH]c(=O)c2c3ccc(c12)c1c(=O)n(C2CCC(CC4CCCCC4)CC2)c(=O)c31,2.58,2.58,2.58,0,23,6
O=c1[nH]c(=O)c2c3ccc(c12)c1c(=O)n(C24CC5CC(CC(C5)C2)C4)c(=O)c31,2.52,2.52,2.52,0,23,6
O=c1[nH]c(=O)c2c3ccc(c12)c1c(=O)n(C24CC5CC(C2)C(C2C6CC7CC(C6)CC2C7)C(C5)C4)c(=O)c31,2.63,2.63,2.63,0,23,6
O=C(Nc1ccccc1)c1cccc(C(=O)Nc2cccc(-n3c(=O)c4cc5c(=O)[nH]c(=O)c5cc4c3=O)c2)c1,4.66,4.9,4.78,0,25,3
O=C(Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc(-n4c(=O)c5sc6c(=O)[nH]c(=O)c6sc5c4=O)cc3)cc2)cc1)c1ccccc1,4.3,4.3,4.3,0,23,3
O=C(Nc1ccc(Oc2ccc(NC(=O)c3ccc(-n4c(=O)c5sc6c(=O)[nH]c(=O)c6sc5c4=O)cc3)cc2)cc1)c1ccccc1,3.9,3.9,3.9,0,23,3
O=C(Nc1ccc(Oc2ccc(NC(=O)c3ccc(-n4c(=O)c5cc6c(=O)[nH]c(=O)c6cc5c4=O)cc3)cc2)cc1)c1ccccc1,2.86,2.9,2.88,0,23,6
O=C(Nc1ccc(NC(=O)c2ccc(-n3c(=O)c4sc5c(=O)[nH]c(=O)c5sc4c3=O)cc2)cc1)c1ccccc1,5.7,5.7,5.7,0,23,3
O=C(Nc1ccc(CCc2ccc(NC(=O)c3ccc(-n4c(=O)c5sc6c(=O)[nH]c(=O)c6sc5c4=O)cc3)cc2)cc1)c1ccccc1,5.2,5.2,5.2,0,23,3
O=C(Nc1ccc(-c2ccc(NC(=O)c3ccc(-n4c(=O)c5sc6c(=O)[nH]c(=O)c6sc5c4=O)cc3)cc2)cc1)c1ccccc1,5.4,5.4,5.4,0,23,3
O=C(c1ccc2c(c1)C(=O)NC2=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(S(=O)(=O)c4ccc(Oc5ccccc5)c(-c5ccc(C(F)(F)F)cc5)c4)cc3-c3ccc(C(F)(F)F)cc3)cc1)C2=O,2.8,2.8,2.8,0,23,6
O=C(c1ccc(Oc2ccccc2)cc1)c1ccc(Oc2ccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)NC6=O)cc4C3=O)cc2)cc1,3.94,3.94,3.94,0,23,3
O=C(c1ccc(Oc2ccccc2)cc1)c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)NC6=O)cc4C3=O)cc2)cc1,3.76,3.76,3.76,0,23,3
